Count;Channel;Notenumber;Velocity
428;1;43;0
429;2;67;71
430;2;69;84
431;2;67;0
432;1;62;0
433;1;53;0
434;1;55;0
435;1;59;0
436;2;70;91
437;2;69;0
438;2;71;106
439;2;70;0
440;1;38;80
441;2;71;0
442;2;62;100
443;1;62;78
444;1;53;68
445;1;55;68
446;1;59;68
447;1;38;0
448;2;63;92
449;2;62;0
450;1;62;0
451;1;53;0
452;1;55;0
453;1;59;0
454;2;64;116
455;2;63;0
456;2;64;0
457;2;65;116
458;1;43;72
459;2;65;0
460;2;69;100
461;2;69;0
462;2;72;100
463;1;62;79
464;1;55;80
465;1;53;77
466;1;59;78
467;1;43;0
468;1;62;0
469;1;55;0
470;1;53;0
471;1;59;0
472;2;72;0
473;2;76;106
474;2;76;0
475;1;38;76
476;2;74;116
477;2;74;0
478;2;79;91
479;1;59;59
480;1;62;62
481;1;53;64
482;1;55;64
483;1;38;0
484;2;83;92
485;2;79;0
486;1;59;0
487;1;62;0
488;1;55;0
489;2;83;0
490;2;86;116
491;1;53;0
492;1;36;79
493;1;60;94
494;2;84;92
495;2;86;0
496;1;60;0
497;2;84;0
498;1;36;0
499;1;45;76
500;1;57;88
501;1;43;88
502;1;55;92
503;1;45;0
504;1;57;0
505;1;43;0
506;1;55;0
507;1;40;94
508;1;52;88
509;1;40;0
510;1;52;0
511;1;36;95
512;1;48;104
513;1;48;0
514;1;36;0
515;2;91;83
516;2;93;88
517;2;91;0
518;2;95;92
519;2;93;0
520;2;96;116
521;2;95;0
522;2;96;0
