Count;Channel;Notes;Velocity
399;1;66;0
400;1;59;48
401;1;59;0
402;1;62;39
403;1;62;0
404;1;66;40
405;1;66;0
406;1;59;46
407;1;59;0
408;1;63;49
409;1;63;0
410;1;66;49
411;1;64;104
412;1;66;0
413;1;71;66
414;1;59;56
415;1;64;0
416;1;64;72
417;1;64;127
418;1;59;0
419;1;63;34
420;1;63;0
421;1;66;40
422;1;59;49
423;1;71;0
424;1;66;0
425;1;72;82
426;1;64;24
427;1;64;0
428;1;64;72
429;1;64;127
430;1;59;0
431;1;64;52
432;1;64;0
433;1;67;33
434;1;64;40
435;1;67;0
436;1;59;42
437;1;64;0
438;1;64;24
439;1;64;72
440;1;64;127
441;1;64;40
442;1;64;0
443;1;67;24
444;1;59;0
445;1;64;72
446;1;67;0
447;1;59;57
448;1;64;0
449;1;64;56
450;1;64;88
451;1;64;127
452;1;59;0
453;1;64;41
454;1;64;0
455;1;67;55
456;1;72;0
457;1;67;0
458;1;70;54
459;1;59;47
460;1;64;40
461;1;64;0
462;1;64;56
463;1;64;104
464;1;64;127
465;1;59;0
466;1;64;31
467;1;64;0
468;1;67;34
469;1;70;0
470;1;67;0
471;1;71;44
472;1;59;24
473;1;64;56
474;1;64;0
475;1;64;56
476;1;64;127
477;1;59;0
478;1;63;32
479;1;63;0
480;1;66;30
481;1;66;0
482;1;59;30
483;1;59;0
484;1;63;25
485;1;63;0
486;1;66;30
487;1;66;0
488;1;59;19
489;1;59;0
490;1;63;34
491;1;63;0
492;1;66;36
493;1;64;40
494;1;71;0
495;1;66;0
496;1;59;44
497;1;71;62
498;1;64;0
499;1;64;40
500;1;64;88
501;1;64;127
502;1;59;0
503;1;63;34
504;1;66;33
505;1;63;0
506;1;66;0
507;1;59;34
508;1;71;0
509;1;72;76
510;1;64;88
511;1;64;24
512;1;64;0
513;1;64;40
514;1;64;72
515;1;64;127
516;1;59;0
517;1;64;26
518;1;64;0
519;1;67;28
520;1;64;88
521;1;67;0
522;1;59;37
523;1;64;24
524;1;64;0
525;1;64;40
526;1;64;88
527;1;64;127
528;1;59;0
529;1;64;31
530;1;64;0
531;1;67;36
532;1;64;88
533;1;64;24
534;1;67;0
535;1;59;62
536;1;64;0
537;1;64;24
538;1;64;56
539;1;64;104
540;1;64;127
541;1;59;0
542;1;64;36
543;1;64;0
544;1;67;39
545;1;72;0
546;1;67;0
547;1;59;47
548;1;70;58
549;1;64;56
550;1;64;0
551;1;64;24
552;1;64;56
553;1;64;88
554;1;64;127
555;1;59;0
556;1;64;25
557;1;64;0
558;1;67;22
559;1;70;0
560;1;67;0
561;1;71;47
562;1;59;33
563;1;64;56
564;1;64;0
565;1;64;72
566;1;64;127
567;1;59;0
568;1;63;27
569;1;63;0
570;1;66;27
571;1;66;0
572;1;59;28
573;1;59;0
574;1;63;31
575;1;63;0
576;1;66;34
577;1;64;56
578;1;64;0
579;1;71;0
580;1;66;0
581;1;59;28
582;1;71;41
583;1;64;40
584;1;64;104
585;1;64;127
586;1;59;0
587;1;62;22
588;1;62;0
589;1;65;33
590;1;65;0
591;1;59;29
592;1;59;0
593;1;62;31
594;1;62;0
595;1;65;32
596;1;71;0
597;1;65;0
598;1;59;31
599;1;71;45
600;1;64;24
601;1;64;0
602;1;64;72
603;1;64;127
604;1;59;0
605;1;61;29
606;1;61;0
607;1;68;32
608;1;68;0
609;1;59;25
610;1;59;0
611;1;61;29
612;1;61;0
613;1;68;25
614;1;71;0
615;1;68;0
616;1;69;60
617;1;57;26
618;1;64;72
619;1;64;0
620;1;64;72
621;1;64;127
622;1;57;0
623;1;61;25
624;1;61;0
625;1;66;31
626;1;66;0
627;1;57;36
628;1;57;0
629;1;61;23
630;1;61;0
631;1;66;38
632;1;69;0
633;1;66;0
634;1;67;67
635;1;64;72
636;1;64;0
637;1;64;56
638;1;64;127
639;1;59;31
640;1;59;0
641;1;62;42
642;1;62;0
643;1;59;36
644;1;59;0
645;1;62;58
646;1;64;24
647;1;67;0
648;1;62;0
649;1;66;62
650;1;64;0
651;1;64;56
652;1;64;127
653;1;57;34
654;1;57;0
655;1;63;55
656;1;63;0
657;1;57;24
658;1;57;0
659;1;63;37
660;1;66;0
661;1;63;0
662;1;61;32
663;1;64;88
664;1;64;0
665;1;64;56
666;1;64;127
667;1;57;36
668;1;57;0
669;1;57;38
670;1;61;0
671;1;57;0
672;1;61;46
673;1;64;88
674;1;64;0
675;1;64;40
676;1;64;127
677;1;64;104
678;1;64;40
679;1;61;0
680;1;61;34
681;1;64;0
682;1;64;24
683;1;64;56
684;1;64;104
685;1;64;127
686;1;64;88
687;1;61;0
688;1;64;0
689;1;64;127
690;1;57;25
691;1;57;0
692;1;61;40
693;1;61;0
694;1;57;49
695;1;57;0
696;1;61;27
697;1;61;0
698;1;66;39
699;1;66;0
700;1;61;46
701;1;61;0
702;1;66;28
703;1;66;0
704;1;69;39
705;1;69;0
706;1;61;64
707;1;73;71
708;1;61;0
709;1;66;32
710;1;66;0
711;1;69;29
712;1;73;0
713;1;73;54
714;1;73;0
715;1;69;0
716;1;73;61
717;1;61;34
718;1;64;24
719;1;64;0
720;1;64;88
721;1;64;127
722;1;68;35
723;1;61;0
724;1;68;0
725;1;71;37
726;1;71;0
727;1;61;35
728;1;61;0
729;1;68;26
730;1;68;0
731;1;71;31
732;1;73;0
733;1;71;0
734;1;61;34
735;1;61;0
736;1;68;32
737;1;68;0
738;1;71;24
739;1;71;0
740;1;73;57
741;1;61;32
742;1;61;0
743;1;68;31
744;1;68;0
745;1;71;34
746;1;73;0
747;1;73;46
748;1;73;0
749;1;71;0
750;1;73;61
751;1;61;31
752;1;64;40
753;1;64;0
754;1;64;56
755;1;64;127
756;1;61;0
757;1;66;34
758;1;66;0
759;1;69;40
760;1;69;0
761;1;61;46
762;1;66;32
763;1;66;0
764;1;69;34
765;1;64;56
766;1;61;0
767;1;73;0
768;1;69;0
769;1;60;63
770;1;72;68
771;1;64;0
772;1;64;72
773;1;64;127
774;1;60;0
